epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_precision,val_recall
0,1.5626196906407674,29.54666667073568,1.4922938022613526,34.96,0.2995112164788513,0.3120508532688129,0.3496
1,1.6228731289545695,30.56,1.5242017658233642,26.08,0.1847701405619977,0.40121538658612305,0.26080000000000003
2,1.4759695548375447,39.12000000406901,1.2745264684677124,49.12,0.4830845900829206,0.5373838914720767,0.4912000000000001
3,1.4197326787312825,42.02666667073568,1.459060001373291,40.08,0.3232751965769993,0.5274752933640949,0.4008
4,1.3657475845336915,45.06666666666667,1.2897395336151123,43.12,0.3881921560063451,0.5833213030251904,0.4312
5,1.3491180508931477,47.973333333333336,1.2042587715148925,49.36,0.43469705016428667,0.5675497093493317,0.4936
6,1.3531892415364584,46.88,1.2282461469650268,49.04,0.47685515365481856,0.5651511758402827,0.4904
7,1.361092281150818,46.586666670735674,1.2264217821121215,53.44,0.5250429964152543,0.5727879695710578,0.5344
8,1.397689035987854,44.85333333740235,1.2719023023605347,48.4,0.4438016034724569,0.481666583011506,0.484
9,1.4600124588012695,39.12000000406901,1.3951172828674316,42.56,0.41160169045413825,0.5504703545074554,0.42560000000000003
10,1.4519093212127685,38.88,1.375766301727295,41.6,0.41180667723762826,0.4704882161996194,0.41600000000000004
11,1.4648299907684326,38.45333333740234,1.3272903480529785,42.48,0.35842945826539174,0.45917164109937836,0.4248
12,1.4633654489517212,39.46666666666667,1.4066698684692382,38.96,0.3497688234092759,0.3983312745888118,0.38960000000000006
13,1.4829070282618204,36.93333333536784,1.4297250713348388,35.36,0.33049485361740505,0.5112499536732004,0.3536
14,1.4663658656438192,38.42666666870117,1.4446983407974243,35.36,0.27375758207424233,0.38025830043696734,0.3536
15,1.470972965812683,37.54666666870117,1.4022046392440797,39.04,0.3376642708746417,0.4244834777614318,0.3904
16,1.4697700451533,38.42666667073568,1.4350621936798096,40.0,0.36284097445535723,0.4021934761992571,0.4
17,1.5002880983352662,35.09333333740234,1.390342021369934,41.12,0.37640340759706137,0.4146638011277979,0.4112
18,1.4767242389678954,36.640000002034505,1.450708877182007,36.88,0.34998895444484024,0.4135024009603841,0.3688
19,1.5049055235544841,34.56000000406901,1.4306441846847535,39.2,0.3622930907703594,0.4007749061065321,0.392
20,1.482252117284139,36.61333333333334,1.5132841151237488,30.64,0.22035132043938493,0.45310563327379966,0.3064
21,1.4941453337987265,35.97333334147135,1.4190327987670899,36.72,0.34185800086907936,0.40931061313414246,0.3672
22,1.4733519985198975,37.68,1.386528631401062,42.96,0.42057814544358985,0.45430934042541776,0.4295999999999999
23,1.4612100514729818,38.32,1.433764119911194,38.24,0.3727170620249573,0.43096109291806445,0.38239999999999996
24,1.463327736790975,38.42666666870117,1.3993061269760132,38.24,0.35608076508684056,0.41214925422482407,0.3824
25,1.4478049863815308,39.17333333333333,1.3527082292556762,42.88,0.425548365198654,0.4349779599875518,0.4288
26,1.4383109813690185,39.68000000406901,1.346664762878418,42.08,0.4156136598569768,0.4984446282294447,0.4208
27,1.4364226829528808,40.98666666870117,1.4102970737457274,38.16,0.3735244358540585,0.428695168157872,0.3816
28,1.4335425444920857,41.04,1.391854224395752,39.92,0.37535934978839236,0.4312063735718271,0.3992
29,1.4180205973307292,42.13333333333333,1.2764685859680176,48.0,0.4724096868203175,0.4772613148016058,0.48
30,1.4143622657775878,42.586666666666666,1.2994885063171386,48.32,0.46867032544710235,0.49493157337937854,0.4832000000000001
31,1.403342381286621,43.653333333333336,1.4105929603576661,41.04,0.38489290894205985,0.4518928703002826,0.4104
32,1.390751289176941,44.69333333740234,1.26244882106781,47.84,0.4522307237911779,0.4798961050667006,0.4784
33,1.3809489254633585,44.906666670735675,1.2517943044662476,47.84,0.45797765026553455,0.4828294510953753,0.4784
34,1.371386564509074,46.42666667073568,1.2541093463897706,49.12,0.4803933210123309,0.49001248540536224,0.49119999999999997
35,1.378049745051066,45.14666667073568,1.2529088916778564,49.12,0.4897225651951981,0.49612393575325664,0.4912000000000001
36,1.3727732529322307,45.653333337402344,1.2522910202026367,49.68,0.48887683256934533,0.5050123683005039,0.4968
37,1.3574069302241007,46.613333337402345,1.2406880470275878,48.88,0.4907690982059356,0.4970415859655274,0.4888
38,1.3660464077631633,45.38666667480469,1.2332580879211426,49.28,0.4795739777928734,0.4827773755639885,0.4928
39,1.344379892730713,47.09333333740234,1.2168201591491699,51.28,0.5101298973653767,0.5245975448965343,0.5128
40,1.3446251757939656,47.09333333740234,1.2231133138656616,50.64,0.4870244568366327,0.5137276872035985,0.5064
41,1.3249951121012369,48.72,1.195610019683838,52.0,0.5120152357402215,0.515635774144335,0.52
42,1.3194762559254964,49.28000000406901,1.1899228830337525,52.24,0.5135087086532459,0.5163769760969806,0.5224
43,1.310784958076477,49.25333333333333,1.1860479106903077,52.24,0.5096935356151311,0.5156418850050537,0.5224
44,1.3163962250391643,49.84,1.1848198669433594,52.72,0.5215682167164231,0.521515871848791,0.5272
45,1.308548494720459,49.52000000406901,1.1749899791717529,54.72,0.54150800171941,0.542647147280897,0.5472
46,1.3036081815083822,50.37333333536784,1.1732313262939453,54.64,0.5423263669434574,0.5437152315440233,0.5464
47,1.2911265485127768,51.333333333333336,1.1653076824188233,54.0,0.5343215826258775,0.5352146431111638,0.54
48,1.2998278868993123,50.24000000813802,1.1667851800918578,54.8,0.5432893473780853,0.5440586685548852,0.548
49,1.288725737953186,50.77333333333333,1.1612068803787232,54.24,0.5377651295869774,0.536508617837184,0.5424
