epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_precision,val_recall
0,1.6007330702463787,25.386666666666667,1.5904988132476807,29.84,0.2633280828240266,0.2932087313447166,0.2984
1,1.5516536293029786,30.506666674804688,1.497141799545288,33.04,0.2732787267887863,0.3726041118461926,0.3304
2,1.495069612121582,35.92000000406901,1.4353237845420836,37.52,0.35400980858169,0.40527726509940704,0.37520000000000003
3,1.4512613943099975,39.17333333333333,1.4040856023788453,38.96,0.3709440840476276,0.45908522044947675,0.3896
4,1.418386113357544,42.080000004069014,1.2706685815811156,46.56,0.4553296663036532,0.4980974152773978,0.46560000000000007
5,1.3944155686696371,43.28,1.3343764377593994,44.8,0.43803380220472654,0.5332499146179961,0.44800000000000006
6,1.3753787451426187,45.57333333333333,1.250783024597168,48.56,0.45130192119467605,0.5293136473081623,0.4856
7,1.354152571964264,46.13333333740234,1.2078928003311158,50.64,0.4852103589490072,0.5140087827522788,0.5064
8,1.3600423523585001,46.693333333333335,1.2162132907867431,50.88,0.4772928223808773,0.5745931909945149,0.5088
9,1.3312320948282879,48.56000000813802,1.1792901121139527,52.4,0.5131874159469414,0.5301098822782949,0.524
10,1.332165239715576,48.13333334147136,1.2553251928329467,47.76,0.4694344438842462,0.5424185487563692,0.47759999999999997
11,1.3108190203984578,49.36000000406901,1.1592677760124206,54.48,0.537820939598259,0.5512600546332284,0.5448000000000001
12,1.320452693684896,48.88000000813802,1.1909152230262756,52.8,0.5099576309525145,0.5463321728223138,0.528
13,1.2951904466629027,49.493333335367836,1.1355873401641845,54.64,0.540441865494484,0.6001642817926242,0.5464
14,1.2822735551198323,50.88000000406901,1.1654360582351684,53.2,0.5236129740652251,0.5547251686453064,0.532
15,1.2498314654668172,53.466666674804685,1.1038725931167603,55.2,0.5474956067899371,0.586051847652804,0.552
16,1.2341725726445516,55.013333333333335,1.0546734912872315,59.52,0.5921102698600053,0.601374686250652,0.5952
17,1.2230944462458293,54.400000004069014,1.1490501804351807,54.32,0.5348749029532858,0.5934474783266369,0.5432
18,1.2068996431986492,56.32,1.0558408945083617,57.28,0.5688040924402424,0.6169050683342492,0.5728
19,1.1900666893005372,56.906666670735675,1.0064052910804748,60.8,0.6074934980778879,0.6487191408424053,0.608
20,1.1850941631952923,57.14666666666667,1.058544890499115,58.24,0.5798263467624774,0.617185783274154,0.5824
21,1.1701770478566487,58.26666667480469,0.9629024839401246,61.52,0.6148861217977644,0.6334536986626714,0.6152
22,1.1433678620020549,60.05333334147135,0.9128783445358276,65.52,0.6519638382364384,0.6558308775796035,0.6552
23,1.1498660041809081,59.09333333740234,0.9376894247055054,62.96,0.6207448377756407,0.6308824309805041,0.6295999999999999
24,1.13298508644104,60.586666666666666,0.9560044687747955,63.52,0.6333856273972772,0.6571331303423037,0.6352
25,1.118846788152059,61.97333334147135,0.8986707648277282,65.76,0.654210319402193,0.6668062316559814,0.6576000000000001
26,1.1093911582946778,61.893333341471354,0.9111980097532273,64.96,0.6481432168089365,0.6623592572944016,0.6496000000000001
27,1.109631393623352,62.48,0.8879854035377502,67.12,0.6728639143802658,0.6840748016549066,0.6712
28,1.0876669672648112,63.41333334147136,0.8604318749427795,68.16,0.6796552251005574,0.6860303085537959,0.6815999999999999
29,1.0790882921218872,64.40000000406901,0.8870006871700287,66.48,0.6647048235788439,0.6784544569242772,0.6648
30,1.0568096300125123,65.30666667073568,0.875828567814827,67.2,0.6668001904380598,0.6970942578459749,0.6719999999999999
31,1.0616194730122883,65.78666667073567,0.9064576942443847,66.48,0.6652180253504288,0.6967345556620531,0.6648
32,1.0605067160288493,65.22666666666667,0.814634914970398,70.48,0.7043949873200019,0.7096034551893993,0.7048
33,1.0499742731730144,66.58666667073568,0.7797468523025513,71.44,0.7149560359576114,0.7226154770291431,0.7144
34,1.0278803032557169,66.56,0.8172268296003342,68.56,0.6778896598086411,0.6975699060305756,0.6856
35,1.0345463544845581,66.77333333740235,0.8790716057300567,64.72,0.6347847108710687,0.668550765725467,0.6472
36,1.0169693367640178,67.06666666666666,0.7957742133140564,70.08,0.6963267889970646,0.7269193927288455,0.7007999999999999
37,1.0109603955904642,67.49333334147136,0.8200539691925048,69.68,0.7022769960720343,0.726570993186774,0.6968000000000001
38,1.0164161818186441,67.57333333333334,0.772396658563614,71.2,0.7079137212971103,0.7211244270247088,0.712
39,1.007380321852366,68.13333333333334,0.7656238056659699,71.36,0.7094707628257975,0.7254696396784406,0.7135999999999999
40,0.9838757346471151,69.54666667073568,0.7278277114391327,72.8,0.729345825416547,0.7320723632817836,0.728
41,0.9690696989059449,71.09333333740234,0.7448467244386673,72.0,0.7157036926596771,0.7283846935868106,0.72
42,0.9696224405288696,70.4266666748047,0.7432210196018219,71.52,0.715136924544379,0.7243393550993383,0.7152000000000001
43,0.9732032888412475,69.89333333333333,0.7250285759449006,73.04,0.7302566970905943,0.7361350601691341,0.7304
44,0.9479759137153625,71.14666667073568,0.717731445980072,73.28,0.7351561793168522,0.7443437834849206,0.7327999999999999
45,0.9470478934605916,71.14666667073568,0.7077354926109314,73.2,0.7334668936049095,0.7377496197166087,0.732
46,0.937031282043457,72.24000000813803,0.6872896062374115,75.2,0.7486997641709336,0.7532896523043922,0.752
47,0.9216129656473796,72.90666666666667,0.6872539472103119,74.0,0.7371768517570633,0.7398610773061083,0.74
48,0.9238175189336141,72.61333334147136,0.6682019274711609,75.28,0.7531980712910687,0.7578471666970115,0.7528
49,0.9228613572438558,73.60000000813803,0.6888098101615906,75.04,0.752659130218131,0.7684398981815413,0.7504
50,0.9204551506042481,72.40000000813802,0.6760166499853134,74.8,0.7481911874800015,0.7516697948693526,0.748
51,0.9045860177357992,73.62666667073567,0.6636304312229157,74.72,0.7447824357054937,0.749021184332934,0.7472000000000001
52,0.8960785201072693,74.96000000406902,0.6962727290630341,74.88,0.7498380117157505,0.760431037159875,0.7487999999999999
53,0.88650787302653,75.52,0.6791373355388641,74.8,0.7473840483561845,0.7560727209854792,0.748
54,0.8878435536702474,74.800000004069,0.6757334374547005,76.0,0.7545309631455016,0.7665873743339665,0.76
55,0.8836746159871419,74.85333334147136,0.6332086197376251,77.28,0.7732859865728613,0.7811645908883202,0.7727999999999999
