epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_precision,val_recall
0,1.5905365446090698,27.306666673787436,1.5336409858703612,33.839999938964844,0.32111572562035784,0.32166684205244567,0.3384
1,0.8096488057454427,82.42666666259765,0.28158304529190065,93.19999995117188,0.9321388933998105,0.9349898798477136,0.932
2,0.5691656295140585,92.18666669108073,0.2231762130022049,94.4,0.943400073318611,0.9461804464067379,0.944
3,0.5096157633781433,94.82666669108073,0.21459828186035157,95.75999995117188,0.9578075206621375,0.9593758272032152,0.9576
4,0.4888566861152649,95.89333333333333,0.21637044911384581,94.39999995117188,0.9438828297064173,0.9462406736830216,0.944
5,0.4845786873181661,95.94666666666667,0.18977271721363068,96.15999997558593,0.9616155890007245,0.9623332879465132,0.9616
6,0.4953466005007426,95.22666663818359,0.2565353533744812,92.95999995117188,0.9293715035336314,0.9338362113444747,0.9296
7,0.4991779118537903,94.88,0.2219754226922989,94.39999995117188,0.9437257370731063,0.9452038560221894,0.944
8,0.4874554436047872,95.81333330485026,0.24475243215560913,95.19999992675781,0.9522071969282153,0.9537318571076,0.952
9,0.4897830319404602,94.98666669108073,0.26880609588623045,93.68000010986329,0.9366893986998267,0.9402274462302257,0.9368000000000001
10,0.5061082202275594,94.8266666381836,0.21733716855049134,94.79999995117187,0.947903814809638,0.9486441419116012,0.9480000000000001
11,0.47001404457092283,96.32000002034505,0.21464223170280455,94.72,0.9472350347278189,0.9488263501885397,0.9471999999999999
12,0.5085487794240315,94.29333330485026,0.29993014917373656,91.19999997558594,0.9117253774978874,0.9204377618898227,0.9120000000000001
13,0.4732074179649353,96.1066666381836,0.23782780654430388,94.07999995117187,0.941093193082178,0.9435663067181125,0.9408
14,0.45018385740915934,97.27999997151693,0.22517296590805053,94.56,0.9454304434240415,0.9473272927571124,0.9456
15,0.4452899554570516,97.38666669108073,0.23071121816635132,94.88,0.9484840107663217,0.9497458095707227,0.9488
