epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_precision,val_recall
0,1.5487690278371176,30.85333333333333,1.4858928646087646,34.96,0.30466793480120213,0.310140217171145,0.3496
1,1.5690872077941895,31.573333337402342,1.4689069549560547,35.76,0.3230384858163588,0.43131791347180776,0.35760000000000003
2,1.524109524790446,33.36,1.5715436019897462,29.6,0.23278485643047322,0.30075725418284405,0.296
3,1.4765985794703165,37.7600000020345,1.5020589466094971,32.56,0.30210897233902284,0.38194974878684745,0.3256
4,1.440381155649821,39.92000000406901,1.3140866497039796,45.84,0.44809805021899896,0.5032904292142609,0.4584
5,1.4129388718922933,41.73333334147135,1.2646531412124633,47.76,0.480170115874881,0.5000590612768268,0.47759999999999997
6,1.358071718343099,46.640000008138024,1.1795414531707764,52.24,0.5057710826918994,0.5448481654431008,0.5224
7,1.3049961335500082,49.306666666666665,1.1998566497802734,46.72,0.4252533023216268,0.5480867734241974,0.46720000000000006
8,1.2721034718195596,50.56000000813802,1.2385685985565185,49.52,0.48184309110609413,0.5809705769892534,0.4952
9,1.2505028261820474,53.466666674804685,1.0808870971679687,56.24,0.5251729339274431,0.6230304759997397,0.5624
10,1.2132410305658976,55.84000000813802,1.0258386027336122,60.64,0.5996900576206304,0.6152501182505411,0.6064
11,1.1979775756835938,56.16000000813802,0.9869501581192016,62.0,0.6078726140887498,0.6648741618855878,0.6199999999999999
12,1.1696266684850056,57.893333337402346,0.9586313862800598,62.8,0.6294903907894953,0.6613095254379596,0.6279999999999999
13,1.15076105372111,58.34666667073568,0.9985027271270752,58.56,0.5535163320934882,0.6429860938771239,0.5856000000000001
14,1.1269800100962322,60.320000008138024,0.9502644779205323,62.4,0.6185837762790534,0.6500631220854742,0.624
15,1.1016879107793172,61.893333341471354,0.9066955282211304,65.68,0.6579141316512633,0.6809484976765724,0.6567999999999999
16,1.0932687428792318,62.32,0.8557105664253235,66.4,0.6623515789872921,0.6913334064330735,0.664
17,1.0535384230295817,65.06666666666666,0.8434620764732361,67.52,0.6694836282886968,0.6853870330996716,0.6752
18,1.0333514720280965,65.68000000406902,0.8880065984249115,63.6,0.6213393154713924,0.673218956366726,0.636
19,1.0248302239100138,65.41333333333333,0.8074300155162811,69.28,0.6936817448407002,0.7163096258167982,0.6928000000000001
20,1.0179331623713175,66.29333333333334,0.8872234287261963,62.32,0.6100697784677084,0.6787174535118888,0.6232
21,0.9979946530024211,67.57333334147135,0.7315795820713044,73.04,0.7279581806274409,0.7324627279161374,0.7304
22,0.9709281351725261,69.01333333740234,0.787483310341835,69.68,0.6837508655146814,0.7318908678118675,0.6967999999999999
23,0.9645117626190186,69.81333333740234,0.7280537242889404,72.8,0.7251840376565957,0.731421636313447,0.728
24,0.9460356319745382,71.36000000406901,0.8338504287719727,65.2,0.6262200362614968,0.7193157340992427,0.6519999999999999
25,0.9496079920450846,70.66666667480469,0.7340544237613678,73.68,0.7338092485135828,0.7468713308890215,0.7367999999999999
26,0.9218954422632853,71.94666667480469,0.7015940346717835,74.56,0.7454606323876771,0.7479252612123753,0.7455999999999999
27,0.9072395289421081,72.90666666666667,0.6528774611473084,75.52,0.7459265006711258,0.7657553024445536,0.7552
28,0.8856984838167826,74.58666667480469,0.705007199048996,75.04,0.7481838349796004,0.7767995552386104,0.7504
29,0.8677484847386678,75.41333333740235,0.6502584980964661,77.44,0.7726152308294545,0.7800120807393089,0.7744
30,0.8424588148117066,76.18666667073568,0.7145553618431091,74.56,0.730443140430084,0.7713766452121548,0.7455999999999999
31,0.830162626393636,77.33333333333333,0.6455826343774795,75.84,0.756061382218692,0.7724883106300082,0.7584
32,0.8084303805033366,78.96000000813802,0.5857901712179184,78.32,0.7808396449419381,0.7844253460855365,0.7832000000000001
33,0.8151869208653768,78.66666667073568,0.6650867192745209,75.52,0.7472788347032753,0.7933845235275108,0.7552
34,0.7917307262738545,79.81333333333333,0.6053985206842423,77.76,0.7754464460260705,0.7842588523902625,0.7776
35,0.7851679427464803,80.13333333740235,0.5780628768563271,79.6,0.7948537379494939,0.8069878715303366,0.796
36,0.7472083285967509,82.66666666666667,0.5238051728725434,81.92,0.8179593088763184,0.8232674907948987,0.8192
37,0.7494253356615702,82.21333333333334,0.6053742228627205,77.84,0.7771952932154962,0.7925751538876327,0.7784000000000001
38,0.7386230173110961,82.69333333740235,0.5516595967292786,80.32,0.8021962858292131,0.8138081346358425,0.8032
39,0.729438787651062,83.28,0.5033135411262513,83.36,0.8347968527902584,0.8403421512140803,0.8336
40,0.7006958730061849,84.85333333740235,0.49780396947860717,82.48,0.8258231131780136,0.8307872347162142,0.8248000000000001
41,0.6887926366488138,85.76000000406901,0.49871842575073244,82.48,0.8246392125904777,0.8284767654134818,0.8248000000000001
42,0.6877404966036479,85.65333333740234,0.47810973234176635,83.36,0.8336092097481618,0.8341445484937389,0.8336
43,0.6644855823516845,86.93333334147135,0.5978700573980809,79.6,0.7932929791945074,0.810920569264748,0.796
44,0.657100909837087,87.70666666666666,0.5224008500695229,81.76,0.8173175299547057,0.832004529374467,0.8176
45,0.6556365655899048,87.28,0.48068079619407655,84.08,0.8419858277201211,0.8481430204972581,0.8408
46,0.6466421816984812,87.81333333333333,0.5716503160953522,80.24,0.801016460577096,0.8256433512307758,0.8023999999999999
47,0.6298337738672892,89.22666667073568,0.46400181784629824,84.72,0.8479509518402853,0.8526644629222032,0.8472000000000002
48,0.6176867905775706,89.14666666666666,0.4972625911951065,83.44,0.8333511775939506,0.8363048675434499,0.8344000000000001
49,0.6132285446802775,89.78666667073567,0.4517119807958603,86.08,0.8599429866526819,0.8608848187255542,0.8608
50,0.5917789284388224,90.93333334147135,0.4918185232162476,83.36,0.8343684609328242,0.8420446099015747,0.8336
51,0.596476049264272,90.56,0.44519894881248473,85.84,0.8578858649580597,0.860627236309526,0.8584000000000002
52,0.6052337739308675,90.21333333333334,0.4772029358386993,84.32,0.8432038671632242,0.8491509371389421,0.8432000000000001
53,0.5771593829631806,91.76,0.4365593819975853,85.52,0.8552198902697793,0.8567141040556475,0.8552000000000002
54,0.5794981201171875,91.20000000406901,0.4567007979393005,85.12,0.851752665453154,0.8529775565346311,0.8512000000000001
55,0.5525006104151408,92.720000004069,0.4860779390931129,84.88,0.8463303646089742,0.8557335573633565,0.8488
56,0.5442352966308593,92.880000004069,0.4720104079127312,85.12,0.850533265070692,0.8539580459834415,0.8512000000000001
57,0.5398784331321717,93.36,0.45346818227767943,85.68,0.8564926669887273,0.8591394031564328,0.8568
58,0.5332370366255442,93.62666666666667,0.46183762521743776,85.52,0.8562986992984005,0.8612504083633066,0.8552
59,0.5229907828330994,94.29333333333334,0.43551247735023496,86.24,0.8623836382736098,0.8645316281074333,0.8624
60,0.5121983410835266,94.88,0.47696107573509217,84.24,0.8434897716692973,0.8506716529736394,0.8424000000000001
61,0.5125344282150268,95.09333333333333,0.437755731511116,85.36,0.8539162642464515,0.8557369585588731,0.8535999999999999
62,0.502647370783488,95.57333333333334,0.4576673278570175,84.88,0.8501508210801816,0.8553703518532689,0.8488
63,0.4945986810048421,95.60000000406902,0.4236709372520447,86.24,0.8623075708087583,0.8630547261557364,0.8624
64,0.48670686111450195,96.02666667073568,0.44241712920665743,86.48,0.865250383090099,0.8671512924694568,0.8648
65,0.4852705261071523,96.29333333333334,0.44115309311151507,86.0,0.8594360362978375,0.8608964124137556,0.8600000000000001
66,0.48040881907145183,96.40000000406901,0.43222994087934496,86.48,0.8643905315236141,0.865098455186142,0.8648
67,0.48070779469807945,96.29333333740234,0.4723695034265518,85.04,0.8501985910701307,0.8568033490293961,0.8503999999999999
