epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_precision,val_recall
0,1.692187084388733,17.19999999287923,1.6959888034820556,17.68,0.12776704173074074,0.23298116995234971,0.1768
1,1.540196630223592,33.68,1.319153088951111,67.36000008544922,0.6583620061014948,0.7058129092009041,0.6736000000000001
2,1.197063777033488,78.10666665852865,0.8398489804267883,91.2,0.9117859794289714,0.9121756597011459,0.9120000000000001
3,0.886264877986908,88.79999999593099,0.5144689279079437,93.44,0.9345183457195837,0.9347863293745613,0.9344000000000001
4,0.7153776272137959,91.25333332926432,0.3545543525457382,94.56,0.9456482077929096,0.9457447342037671,0.9456
5,0.6384836380640666,91.68000004475911,0.27891502530574797,95.12,0.9512193804259959,0.9514653483954045,0.9512
6,0.6034593865712484,92.29333330485026,0.24501253060102463,95.2,0.9519595962036647,0.9522779926451769,0.952
7,0.5873122936248779,92.7466666381836,0.22384821195602417,95.12,0.9511900435262334,0.9513864058239498,0.9512
8,0.5772253139177959,93.33333330485026,0.21101170312166215,95.6,0.9559680227703102,0.956296632751583,0.9559999999999998
9,0.5645493780771891,93.65333330485026,0.20164739521741867,95.84,0.9583458511819447,0.9586331611041251,0.9583999999999999
10,0.5584549308776855,93.89333330485026,0.19472007466554642,95.84,0.958362488744022,0.9585369411295375,0.9583999999999999
11,0.5577066315015157,94.29333330485026,0.19124989875555037,95.76,0.9575638453987075,0.957798121162272,0.9576
12,0.5508392868041992,94.42666669108073,0.1876457456111908,95.92,0.9591728429506491,0.9594305707149988,0.9591999999999998
13,0.5501188288370769,94.13333337809244,0.18518403393030167,95.92,0.9591954703294846,0.9595028581494767,0.9591999999999998
14,0.5448852612813314,94.53333332519531,0.18455961351394654,95.92,0.959167290532033,0.9594960574395017,0.9591999999999998
15,0.5415068302790323,94.85333335367838,0.18056640248298644,96.24,0.9623788251501946,0.9625552536010389,0.9623999999999999
16,0.5449048325220743,94.69333332926432,0.18123212846517564,96.08,0.9607697136061596,0.9611172285820851,0.9608000000000001
